==13530== NVPROF is profiling process 13530, command: ./gauss_gpu img/src/mountain_4096.jpg img/dest/mountain_4096.jpg 2 16
==13530== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==13530== Profiling application: ./gauss_gpu img/src/mountain_4096.jpg img/dest/mountain_4096.jpg 2 16
Width:4096, Height:2731 Size(in Bytes):134234112
block.x=2, block.y=16, grid.x=2048, grid.y=171
Time: 61.404876
Done!
==13530== Profiling result:
==13530== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA GeForce GT 1030 (0)"
    Kernel: ComputeConvolution(unsigned char*, unsigned char const *, int, int, float*, int)
          3                             inst_per_warp                                                 Instructions per warp  1.4300e+03  1.4300e+03  1.4300e+03
          3                         branch_efficiency                                                     Branch Efficiency     100.00%     100.00%     100.00%
          3                 warp_execution_efficiency                                             Warp Execution Efficiency      99.82%      99.82%      99.82%
          3         warp_nonpred_execution_efficiency                              Warp Non-Predicated Execution Efficiency      97.73%      97.73%      97.73%
          3                      inst_replay_overhead                                           Instruction Replay Overhead    0.000027    0.000027    0.000027
          3      shared_load_transactions_per_request                           Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          3     shared_store_transactions_per_request                          Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          3       local_load_transactions_per_request                            Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          3      local_store_transactions_per_request                           Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          3              gld_transactions_per_request                                  Global Load Transactions Per Request   10.000000   10.000000   10.000000
          3              gst_transactions_per_request                                 Global Store Transactions Per Request   15.970760   15.970760   15.970760
          3                 shared_store_transactions                                             Shared Store Transactions           0           0           0
          3                  shared_load_transactions                                              Shared Load Transactions           0           0           0
          3                   local_load_transactions                                               Local Load Transactions           0           0           0
          3                  local_store_transactions                                              Local Store Transactions           0           0           0
          3                          gld_transactions                                              Global Load Transactions   567336962   567336962   567336962
          3                          gst_transactions                                             Global Store Transactions     5593088     5593088     5593088
          3                  sysmem_read_transactions                                       System Memory Read Transactions           0           0           0
          3                 sysmem_write_transactions                                      System Memory Write Transactions           5           5           5
